ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
자동사 + 전치사 List
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
account for         | ~에 대해 설명하다    || interfere with   | ~를 방해하다
agree to/with/on    | ~에 동의하다         || listen to        | ~를 듣다
apologize for       | ~를 사과하다         || look after       | ~를 돌보다
apply for           | ~에 지원하다         || look at          | ~를 보다
ask for             | ~를 요청하다         || look for         | ~를 찾다
benefit from        | ~로부터 이익을 얻다  || look into        | ~를 조사하다
belong to           | ~에 속하다           || look over        | ~를 검토하다
care for            | ~를 돌보다           || object to        | ~에 반대하다
comply with         | ~를 준수하다         || participate in   | ~에 참여하다
consent to/with/on  | ~에 동의하다         || proceed with     | ~를 진행하다
contend with        | ~와 씨름하다         || react to         | ~에 반응하다
contribute to       | ~에 기여하다         || refer to         | ~를 참조하다
cooperate with      | ~와 협력하다         || rely on          | ~에 의지하다
cope with           | ~에 대처하다         || reply to         | ~에 답하다
deal with           | ~를 다루다           || respond to       | ~에 답하다
depend on           | ~에 의지하다         || speak to         | ~에게 말하다
differ from         | ~와 다르다           || specialize in    | ~를 전문으로 하다
engage in           | ~에 관여하다         || talk about/to    | ~에 관해서
arrive at/in        | ~에 도착하다         || wait for         | ~를 기다리다
